ARF5	ENST00000000233	ENSCAFT00000002708
CPA1	ENST00000011292	ENSCAFT00000082881
SYPL1	ENST00000011473	ENSCAFT00000006408
RANBP9	ENST00000011619	ENSCAFT00000032379
CD4	ENST00000011653	ENSCAFT00000077975
PLEKHG6	ENST00000011684	ENSCAFT00000039538
SS18L2	ENST00000011691	ENSCAFT00000008514
TSPAN9	ENST00000011898	ENSCAFT00000090969
QPCTL	ENST00000012049	ENSCAFT00000007080
HIVEP2	ENST00000012134	ENSCAFT00000000460
PPP5C	ENST00000012443	ENSCAFT00000080727
UBR7	ENST00000013070	ENSCAFT00000027893
MAP4K5	ENST00000013125	ENSCAFT00000022944
GPRC5A	ENST00000014914	ENSCAFT00000020967
COX15	ENST00000016171	ENSCAFT00000015123
XYLT2	ENST00000017003	ENSCAFT00000026966
SCTR	ENST00000019103	ENSCAFT00000008486
RALBP1	ENST00000019317	ENSCAFT00000063761
PSD	ENST00000020673	ENSCAFT00000016153
SYT13	ENST00000020926	ENSCAFT00000014942
SNAI2	ENST00000020945	ENSCAFT00000010700
VDAC3	ENST00000022615	ENSCAFT00000043931
SLC7A9	ENST00000023064	ENSCAFT00000088588
GABRA1	ENST00000023897	ENSCAFT00000027295
RB1CC1	ENST00000025008	ENSCAFT00000083650
AKAP11	ENST00000025301	ENSCAFT00000007520
PIGQ	ENST00000026218	ENSCAFT00000031266
CDH17	ENST00000027335	ENSCAFT00000014552
B4GALT7	ENST00000029410	ENSCAFT00000074256
FAM13B	ENST00000033079	ENSCAFT00000093166
CHPF2	ENST00000035307	ENSCAFT00000062921
LRRC7	ENST00000035383	ENSCAFT00000049717
GABARAPL2	ENST00000037243	ENSCAFT00000049671
MYOC	ENST00000037502	ENSCAFT00000023685
NSMAF	ENST00000038176	ENSCAFT00000081206
OTC	ENST00000039007	ENSCAFT00000022277
TTC17	ENST00000039989	ENSCAFT00000044798
MRI1	ENST00000040663	ENSCAFT00000026335
BOD1L1	ENST00000040738	ENSCAFT00000024431
TARBP1	ENST00000040877	ENSCAFT00000045343
BEST2	ENST00000042931	ENSCAFT00000027237
RTN4R	ENST00000043402	ENSCAFT00000071620
PSMA4	ENST00000044462	ENSCAFT00000026490
RIPOR3	ENST00000045083	ENSCAFT00000018338
ZPBP	ENST00000046087	ENSCAFT00000039269
CTNS	ENST00000046640	ENSCAFT00000079479
LCP2	ENST00000046794	ENSCAFT00000045064
DCN	ENST00000052754	ENSCAFT00000009945
TNFRSF17	ENST00000053243	ENSCAFT00000044503
GUCA1A	ENST00000053469	ENSCAFT00000002567
GRN	ENST00000053867	ENSCAFT00000022483
THAP3	ENST00000054650	ENSCAFT00000031191
VAMP3	ENST00000054666	ENSCAFT00000089069
RCN1	ENST00000054950	ENSCAFT00000039726
RFC2	ENST00000055077	ENSCAFT00000091584
PPP1R3F	ENST00000055335	ENSCAFT00000025245
NEXMIF	ENST00000055682	ENSCAFT00000027246
ARHGEF5	ENST00000056217	ENSCAFT00000005632
NFE2L3	ENST00000056233	ENSCAFT00000004584
TNIP3	ENST00000057513	ENSCAFT00000006675
SIKE1	ENST00000060969	ENSCAFT00000045639
TLL1	ENST00000061240	ENSCAFT00000059730
NNAT	ENST00000062104	ENSCAFT00000013957
CBLN4	ENST00000064571	ENSCAFT00000018870
CLDN11	ENST00000064724	ENSCAFT00000023567
FAM168A	ENST00000064778	ENSCAFT00000087360
RELT	ENST00000064780	ENSCAFT00000078279
CDC27	ENST00000066544	ENSCAFT00000021765
PKP2	ENST00000070846	ENSCAFT00000078459
IL1RAP	ENST00000072516	ENSCAFT00000022259
YIPF1	ENST00000072644	ENSCAFT00000037859
ADCK2	ENST00000072869	ENSCAFT00000006326
INPP4A	ENST00000074304	ENSCAFT00000003678
SLC2A3	ENST00000075120	ENSCAFT00000086948
ENPP2	ENST00000075322	ENSCAFT00000066451
STYK1	ENST00000075503	ENSCAFT00000072516
CREB3L3	ENST00000078445	ENSCAFT00000030377
PIGV	ENST00000078527	ENSCAFT00000049117
MRPS35	ENST00000081029	ENSCAFT00000017466
APPBP2	ENST00000083182	ENSCAFT00000028174
CA11	ENST00000084798	ENSCAFT00000086001
CD22	ENST00000085219	ENSCAFT00000011287
KCNQ1	ENST00000155840	ENSCAFT00000072794
TRPM5	ENST00000155858	ENSCAFT00000048371
TRIB2	ENST00000155926	ENSCAFT00000049200
OTUD5	ENST00000156084	ENSCAFT00000024853
GPKOW	ENST00000156109	ENSCAFT00000025025
AQR	ENST00000156471	ENSCAFT00000013319
KLK14	ENST00000156499	ENSCAFT00000004608
ST6GALNAC1	ENST00000156626	ENSCAFT00000076647
LMCD1	ENST00000157600	ENSCAFT00000067270
PSMC4	ENST00000157812	ENSCAFT00000008685
FNDC8	ENST00000158009	ENSCAFT00000029057
ACAP1	ENST00000158762	ENSCAFT00000025778
DERL2	ENST00000158771	ENSCAFT00000063703
NOX3	ENST00000159060	ENSCAFT00000000923
ANO8	ENST00000159087	ENSCAFT00000093493
KDM4B	ENST00000159111	ENSCAFT00000092302
ICAM3	ENST00000160262	ENSCAFT00000077774
CTTNBP2	ENST00000160373	ENSCAFT00000047010
ACTL6B	ENST00000160382	ENSCAFT00000022731
KIF22	ENST00000160827	ENSCAFT00000026854
PRSS22	ENST00000161006	ENSCAFT00000030721
CEACAM1	ENST00000161559	ENSCAFT00000046087
YTHDC2	ENST00000161863	ENSCAFT00000000357
TMEM161A	ENST00000162044	ENSCAFT00000077019
BCAR1	ENST00000162330	ENSCAFT00000074636
FOXJ2	ENST00000162391	ENSCAFT00000039687
TNFRSF1A	ENST00000162749	ENSCAFT00000064638
GOLGA5	ENST00000163416	ENSCAFT00000078194
CELSR3	ENST00000164024	ENSCAFT00000066175
PPP2R5B	ENST00000164133	ENSCAFT00000072397
PYGM	ENST00000164139	ENSCAFT00000022714
BCL3	ENST00000164227	ENSCAFT00000007490
KCNAB2	ENST00000164247	ENSCAFT00000092483
PIGB	ENST00000164305	ENSCAFT00000048265
PDZD4	ENST00000164640	ENSCAFT00000030629
PRLH	ENST00000165524	ENSCAFT00000019479
REEP1	ENST00000165698	ENSCAFT00000079807
FSTL3	ENST00000166139	ENSCAFT00000035683
EPHA8	ENST00000166244	ENSCAFT00000023234
TRIP13	ENST00000166345	ENSCAFT00000017241
P4HA2	ENST00000166534	ENSCAFT00000066619
VASH1	ENST00000167106	ENSCAFT00000077554
KRT14	ENST00000167586	ENSCAFT00000025254
KRT20	ENST00000167588	ENSCAFT00000038760
SPP2	ENST00000168148	ENSCAFT00000019039
HSD17B10	ENST00000168216	ENSCAFT00000025813
FGF4	ENST00000168712	ENSCAFT00000045803
ST6GAL1	ENST00000169298	ENSCAFT00000084017
TIMM21	ENST00000169551	ENSCAFT00000000046
BPIFB2	ENST00000170150	ENSCAFT00000011737
REXO1	ENST00000170168	ENSCAFT00000030942
MKRN2	ENST00000170447	ENSCAFT00000007980
GPATCH1	ENST00000170564	ENSCAFT00000090504
KEAP1	ENST00000171111	ENSCAFT00000028191
RDH8	ENST00000171214	ENSCAFT00000028505
P2RY10	ENST00000171757	ENSCAFT00000027394
TNS1	ENST00000171887	ENSCAFT00000065916
NGFR	ENST00000172229	ENSCAFT00000049876
NEB	ENST00000172853	ENSCAFT00000049028
NTN1	ENST00000173229	ENSCAFT00000027580
ISOC1	ENST00000173527	ENSCAFT00000001119
MNT	ENST00000174618	ENSCAFT00000030644
AP3M2	ENST00000174653	ENSCAFT00000068937
LAPTM4A	ENST00000175091	ENSCAFT00000006160
ADAM7	ENST00000175238	ENSCAFT00000014408
ASNS	ENST00000175506	ENSCAFT00000003490
ALDH3A2	ENST00000176643	ENSCAFT00000068783
STK10	ENST00000176763	ENSCAFT00000064484
ALPK1	ENST00000177648	ENSCAFT00000018520
TBX21	ENST00000177694	ENSCAFT00000026451
CA12	ENST00000178638	ENSCAFT00000066578
MAP2K5	ENST00000178640	ENSCAFT00000048074
TIGAR	ENST00000179259	ENSCAFT00000045644
FGF20	ENST00000180166	ENSCAFT00000011008
MTMR7	ENST00000180173	ENSCAFT00000011103
CPB2	ENST00000181383	ENSCAFT00000007266
CDK13	ENST00000181839	ENSCAFT00000046011
TSPAN32	ENST00000182290	ENSCAFT00000016066
FAR2	ENST00000182377	ENSCAFT00000017392
TRAM2	ENST00000182527	ENSCAFT00000080604
CLDN18	ENST00000183605	ENSCAFT00000047849
NDUFB4	ENST00000184266	ENSCAFT00000017807
HEATR6	ENST00000184956	ENSCAFT00000028841
ERLEC1	ENST00000185150	ENSCAFT00000088885
CLIC5	ENST00000185206	ENSCAFT00000076610
TMEM131	ENST00000186436	ENSCAFT00000003712
ARPP21	ENST00000187397	ENSCAFT00000067723
TMEM38A	ENST00000187762	ENSCAFT00000045750
ACTR6	ENST00000188312	ENSCAFT00000010817
FAP	ENST00000188790	ENSCAFT00000016532
DMRT3	ENST00000190165	ENSCAFT00000003148
OSBPL6	ENST00000190611	ENSCAFT00000091996
CCN5	ENST00000190983	ENSCAFT00000015124
CTSA	ENST00000191018	ENSCAFT00000015596
GAL3ST2	ENST00000192314	ENSCAFT00000068890
UHRF1BP1	ENST00000192788	ENSCAFT00000063333
OSTM1	ENST00000193322	ENSCAFT00000006043
IMPG2	ENST00000193391	ENSCAFT00000015171
ACTN1	ENST00000193403	ENSCAFT00000063610
DELE1	ENST00000194118	ENSCAFT00000010073
SLC13A1	ENST00000194130	ENSCAFT00000005744
PCDHB2	ENST00000194155	ENSCAFT00000037959
HSPB11	ENST00000194214	ENSCAFT00000030284
STRADB	ENST00000194530	ENSCAFT00000019520
PLOD1	ENST00000196061	ENSCAFT00000026182
TDRD3	ENST00000196169	ENSCAFT00000036707
OXCT1	ENST00000196371	ENSCAFT00000089200
RPS5	ENST00000196551	ENSCAFT00000003710
FAM234B	ENST00000197268	ENSCAFT00000076801
CPNE3	ENST00000198765	ENSCAFT00000014109
RRN3	ENST00000198767	ENSCAFT00000071404
MOGAT2	ENST00000198801	ENSCAFT00000008642
AQP2	ENST00000199280	ENSCAFT00000044387
DIMT1	ENST00000199320	ENSCAFT00000011566
EIF2AK1	ENST00000199389	ENSCAFT00000024820
NME8	ENST00000199447	ENSCAFT00000047070
EPDR1	ENST00000199448	ENSCAFT00000046880
MRPL28	ENST00000199706	ENSCAFT00000031293
RBM22	ENST00000199814	ENSCAFT00000028740
HSD17B2	ENST00000199936	ENSCAFT00000031790
ZW10	ENST00000200135	ENSCAFT00000021759
ITGB4	ENST00000200181	ENSCAFT00000046475
TRIP6	ENST00000200457	ENSCAFT00000022289
ADAM11	ENST00000200557	ENSCAFT00000090771
LAMP2	ENST00000200639	ENSCAFT00000090747
SLC22A4	ENST00000200652	ENSCAFT00000086444
MT3	ENST00000200691	ENSCAFT00000043233
TFAP2C	ENST00000201031	ENSCAFT00000081835
SULT2B1	ENST00000201586	ENSCAFT00000006386
EPS8L1	ENST00000201647	ENSCAFT00000086629
REM1	ENST00000201979	ENSCAFT00000046761
PDRG1	ENST00000202017	ENSCAFT00000011390
PPP1R13B	ENST00000202556	ENSCAFT00000068324
TGM6	ENST00000202625	ENSCAFT00000061852
RALGAPA2	ENST00000202677	ENSCAFT00000085201
ESF1	ENST00000202816	ENSCAFT00000008999
SLC8B1	ENST00000202831	ENSCAFT00000092957
TMEM230	ENST00000202834	ENSCAFT00000009749
OAS1	ENST00000202917	ENSCAFT00000014182
SIRT4	ENST00000202967	ENSCAFT00000064376
TRMT6	ENST00000203001	ENSCAFT00000009643
HAUS5	ENST00000203166	ENSCAFT00000059823
UQCRC1	ENST00000203407	ENSCAFT00000019627
GMIP	ENST00000203556	ENSCAFT00000047800
LAG3	ENST00000203629	ENSCAFT00000023304
MLF2	ENST00000203630	ENSCAFT00000023331
OTUB2	ENST00000203664	ENSCAFT00000080561
TFAP4	ENST00000204517	ENSCAFT00000042869
PDCD7	ENST00000204549	ENSCAFT00000049426
SPG21	ENST00000204566	ENSCAFT00000093932
CHRD	ENST00000204604	ENSCAFT00000048772
THPO	ENST00000204615	ENSCAFT00000065778
GNPTG	ENST00000204679	ENSCAFT00000031129
GOLGA3	ENST00000204726	ENSCAFT00000009848
EFNB1	ENST00000204961	ENSCAFT00000065291
NAT14	ENST00000205194	ENSCAFT00000004054
AASDH	ENST00000205214	ENSCAFT00000060939
LAMB4	ENST00000205386	ENSCAFT00000065428
DLD	ENST00000205402	ENSCAFT00000006177
ABCC6	ENST00000205557	ENSCAFT00000028908
CMTM6	ENST00000205636	ENSCAFT00000008680
MYO15A	ENST00000205890	ENSCAFT00000029106
APOH	ENST00000205948	ENSCAFT00000017923
SPAG7	ENST00000206020	ENSCAFT00000024979
ESR1	ENST00000206249	ENSCAFT00000000680
RGS17	ENST00000206262	ENSCAFT00000000847
TMEM101	ENST00000206380	ENSCAFT00000022851
CCDC80	ENST00000206423	ENSCAFT00000064178
PSME1	ENST00000206451	ENSCAFT00000018963
CEBPE	ENST00000206513	ENSCAFT00000018147
OSGEP	ENST00000206542	ENSCAFT00000083904
SLC22A17	ENST00000206544	ENSCAFT00000018313
G2E3	ENST00000206595	ENSCAFT00000020013
TGM1	ENST00000206765	ENSCAFT00000019351
TEKT2	ENST00000207457	ENSCAFT00000070887
UNC13D	ENST00000207549	ENSCAFT00000007945
XYLB	ENST00000207870	ENSCAFT00000087285
KRT23	ENST00000209718	ENSCAFT00000025377
CDC6	ENST00000209728	ENSCAFT00000025560
AAAS	ENST00000209873	ENSCAFT00000076860
CBX5	ENST00000209875	ENSCAFT00000010645
KLHL20	ENST00000209884	ENSCAFT00000023107
FMO2	ENST00000209929	ENSCAFT00000023766
DHPS	ENST00000210060	ENSCAFT00000027315
RAB26	ENST00000210187	ENSCAFT00000030833
NANS	ENST00000210444	ENSCAFT00000046823
MAPK13	ENST00000211287	ENSCAFT00000002131
PRRT1	ENST00000211413	ENSCAFT00000078932
ZNF184	ENST00000211936	ENSCAFT00000079238
VCL	ENST00000211998	ENSCAFT00000024269
SIRT1	ENST00000212015	ENSCAFT00000021123
TGFBR3	ENST00000212355	ENSCAFT00000032134
TMED1	ENST00000214869	ENSCAFT00000027957
MZF1	ENST00000215057	ENSCAFT00000042988
OCEL1	ENST00000215061	ENSCAFT00000024585
PSMD8	ENST00000215071	ENSCAFT00000009549
STX1B	ENST00000215095	ENSCAFT00000090306
BCL7C	ENST00000215115	ENSCAFT00000059775
ATP5F1D	ENST00000215375	ENSCAFT00000090900
FGF22	ENST00000215530	ENSCAFT00000031337
SMIM24	ENST00000215531	ENSCAFT00000030514
IGFALS	ENST00000215539	ENSCAFT00000030990
MARCHF2	ENST00000215555	ENSCAFT00000084148
NDUFB7	ENST00000215565	ENSCAFT00000025784
TECR	ENST00000215567	ENSCAFT00000025814
CDC34	ENST00000215574	ENSCAFT00000045306
MISP	ENST00000215582	ENSCAFT00000043297
GADD45B	ENST00000215631	ENSCAFT00000030820
MADCAM1	ENST00000215637	ENSCAFT00000070061
MAPK12	ENST00000215659	ENSCAFT00000001068
SERPIND1	ENST00000215727	ENSCAFT00000024253
SNAP29	ENST00000215730	ENSCAFT00000024144
LZTR1	ENST00000215739	ENSCAFT00000024062
THAP7	ENST00000215742	ENSCAFT00000045212
MMP11	ENST00000215743	ENSCAFT00000089387
OSM	ENST00000215781	ENSCAFT00000019794
TBC1D10A	ENST00000215790	ENSCAFT00000019878
SF3A1	ENST00000215793	ENSCAFT00000020076
SEC14L3	ENST00000215812	ENSCAFT00000020256
MAPK1	ENST00000215832	ENSCAFT00000035708
TCN2	ENST00000215838	ENSCAFT00000061678
CRYBB3	ENST00000215855	ENSCAFT00000018362
SLC25A1	ENST00000215882	ENSCAFT00000078363
PLA2G3	ENST00000215885	ENSCAFT00000020599
LGALS2	ENST00000215886	ENSCAFT00000068634
PDXP	ENST00000215904	ENSCAFT00000043767
ASPHD2	ENST00000215906	ENSCAFT00000066664
LGALS1	ENST00000215909	ENSCAFT00000048962
PIK3IP1	ENST00000215912	ENSCAFT00000020749
CRYBB1	ENST00000215939	ENSCAFT00000018721
ANKRD54	ENST00000215941	ENSCAFT00000078372
MICALL1	ENST00000215957	ENSCAFT00000002244
CENPM	ENST00000215980	ENSCAFT00000001545
KDELR3	ENST00000216014	ENSCAFT00000078103
DMC1	ENST00000216024	ENSCAFT00000002150
HSCB	ENST00000216027	ENSCAFT00000018940
CBY1	ENST00000216029	ENSCAFT00000002133
RSPH14	ENST00000216036	ENSCAFT00000021641
RTCB	ENST00000216038	ENSCAFT00000002802
JOSD1	ENST00000216039	ENSCAFT00000002129
GTPBP1	ENST00000216044	ENSCAFT00000074898
PPP6R2	ENST00000216061	ENSCAFT00000047715
DNAL4	ENST00000216068	ENSCAFT00000002113
MIOX	ENST00000216075	ENSCAFT00000000869
RHBDD3	ENST00000216085	ENSCAFT00000019228
RASL10A	ENST00000216101	ENSCAFT00000019432
HMGXB4	ENST00000216106	ENSCAFT00000046398
HMOX1	ENST00000216117	ENSCAFT00000002674
NIPSNAP1	ENST00000216121	ENSCAFT00000019519
MCM5	ENST00000216122	ENSCAFT00000080088
RASD2	ENST00000216127	ENSCAFT00000048104
TTLL12	ENST00000216129	ENSCAFT00000083964
CBX7	ENST00000216133	ENSCAFT00000002104
ACR	ENST00000216139	ENSCAFT00000088728
CABP7	ENST00000216144	ENSCAFT00000062928
RPL3	ENST00000216146	ENSCAFT00000002096
TAB1	ENST00000216160	ENSCAFT00000002071
PNPLA5	ENST00000216177	ENSCAFT00000001391
PNPLA3	ENST00000216180	ENSCAFT00000001387
MYH9	ENST00000216181	ENSCAFT00000076480
TXN2	ENST00000216185	ENSCAFT00000002425
FOXRED2	ENST00000216187	ENSCAFT00000078646
EIF3D	ENST00000216190	ENSCAFT00000002412
UPK3A	ENST00000216211	ENSCAFT00000001319
FAM118A	ENST00000216214	ENSCAFT00000001314
ST13	ENST00000216218	ENSCAFT00000001742
IL2RB	ENST00000216223	ENSCAFT00000002356
RBX1	ENST00000216225	ENSCAFT00000066902
L3MBTL2	ENST00000216237	ENSCAFT00000001714
PHF5A	ENST00000216252	ENSCAFT00000001662
ACO2	ENST00000216254	ENSCAFT00000071881
PMM1	ENST00000216259	ENSCAFT00000001607
CERK	ENST00000216264	ENSCAFT00000046855
BRD1	ENST00000216267	ENSCAFT00000001121
ZBED4	ENST00000216268	ENSCAFT00000001110
HDAC10	ENST00000216271	ENSCAFT00000001069
PAPOLA	ENST00000216277	ENSCAFT00000028221
HSP90AA1	ENST00000216281	ENSCAFT00000028654
NID2	ENST00000216286	ENSCAFT00000090682
SNAPC1	ENST00000216294	ENSCAFT00000024903
SUPT16H	ENST00000216297	ENSCAFT00000009018
FKBP3	ENST00000216330	ENSCAFT00000022261
GZMB	ENST00000216341	ENSCAFT00000048462
COCH	ENST00000216361	ENSCAFT00000020250
POLE2	ENST00000216367	ENSCAFT00000085621
SOS2	ENST00000216373	ENSCAFT00000022697
PYGL	ENST00000216392	ENSCAFT00000023165
GNPNAT1	ENST00000216410	ENSCAFT00000023520
CGRRF1	ENST00000216420	ENSCAFT00000045843
ATP6V1D	ENST00000216442	ENSCAFT00000025963
CCDC198	ENST00000216445	ENSCAFT00000043857
PLEK2	ENST00000216446	ENSCAFT00000025996
PIGH	ENST00000216452	ENSCAFT00000039086
PSMA3	ENST00000216455	ENSCAFT00000047308
GSTZ1	ENST00000216465	ENSCAFT00000027222
TMED8	ENST00000216468	ENSCAFT00000070904
SAMD15	ENST00000216471	ENSCAFT00000027230
AHSA1	ENST00000216479	ENSCAFT00000027264
SPTLC2	ENST00000216484	ENSCAFT00000037159
RIN3	ENST00000216487	ENSCAFT00000017468
ALKBH1	ENST00000216489	ENSCAFT00000027288
DHRS7	ENST00000216500	ENSCAFT00000024717
SIX4	ENST00000216513	ENSCAFT00000047206
SLC10A1	ENST00000216540	ENSCAFT00000026282
MTHFD1	ENST00000216605	ENSCAFT00000025366
VRK1	ENST00000216639	ENSCAFT00000080070
APEX1	ENST00000216714	ENSCAFT00000048382
PABPN1	ENST00000216727	ENSCAFT00000068339
EFS	ENST00000216733	ENSCAFT00000079358
CINP	ENST00000216756	ENSCAFT00000071009
SRP54	ENST00000216774	ENSCAFT00000061294
PCK2	ENST00000216780	ENSCAFT00000018871
NFKBIA	ENST00000216797	ENSCAFT00000021292
EMC9	ENST00000216799	ENSCAFT00000018991
PSME2	ENST00000216802	ENSCAFT00000082724
BRMS1L	ENST00000216807	ENSCAFT00000049026
PNN	ENST00000216832	ENSCAFT00000022021
RABGGTA	ENST00000216840	ENSCAFT00000019372
CYP24A1	ENST00000216862	ENSCAFT00000018816
NSFL1C	ENST00000216879	ENSCAFT00000010930
ZFP64	ENST00000216923	ENSCAFT00000018736
GSS	ENST00000216951	ENSCAFT00000012154
PYGB	ENST00000216962	ENSCAFT00000007041
PROCR	ENST00000216968	ENSCAFT00000075188
MYBL2	ENST00000217026	ENSCAFT00000072477
R3HDML	ENST00000217043	ENSCAFT00000014922
PABPC1L	ENST00000217073	ENSCAFT00000015215
SALL4	ENST00000217086	ENSCAFT00000018662
CSTF1	ENST00000217109	ENSCAFT00000018926
ZNF512B	ENST00000217130	ENSCAFT00000092118
CTSZ	ENST00000217131	ENSCAFT00000067171
TUBB1	ENST00000217133	ENSCAFT00000073200
SLCO4A1	ENST00000217159	ENSCAFT00000020151
BIRC7	ENST00000217169	ENSCAFT00000020266
UBOX5	ENST00000217173	ENSCAFT00000010373
SRMS	ENST00000217188	ENSCAFT00000020551
TRIB3	ENST00000217233	ENSCAFT00000011176
SLC52A3	ENST00000217254	ENSCAFT00000011091
RSPO4	ENST00000217260	ENSCAFT00000010997
FERMT1	ENST00000217289	ENSCAFT00000009583
PDYN	ENST00000217305	ENSCAFT00000010867
TLDC2	ENST00000217320	ENSCAFT00000013721
SNTA1	ENST00000217381	ENSCAFT00000011871
OXT	ENST00000217386	ENSCAFT00000088599
CHMP4B	ENST00000217402	ENSCAFT00000011977
LBP	ENST00000217407	ENSCAFT00000039771
SLC32A1	ENST00000217420	ENSCAFT00000014270
AHCY	ENST00000217426	ENSCAFT00000012019
PIGU	ENST00000217446	ENSCAFT00000012122
ACOT8	ENST00000217455	ENSCAFT00000047650
APMAP	ENST00000217456	ENSCAFT00000063311
TXNL1	ENST00000217515	ENSCAFT00000000227
RNF125	ENST00000217740	ENSCAFT00000044835
TAF9	ENST00000217893	ENSCAFT00000012404
IDH3G	ENST00000217901	ENSCAFT00000030624
SLC25A43	ENST00000217909	ENSCAFT00000029190
MXRA5	ENST00000217939	ENSCAFT00000017767
VSIG1	ENST00000217957	ENSCAFT00000085870
PSMD10	ENST00000217958	ENSCAFT00000037648
STS	ENST00000217961	ENSCAFT00000017942
PGRMC1	ENST00000217971	ENSCAFT00000029184
GUCY2F	ENST00000218006	ENSCAFT00000028661
ATP1B4	ENST00000218008	ENSCAFT00000029367
GLRA2	ENST00000218075	ENSCAFT00000018822
F9	ENST00000218099	ENSCAFT00000030166
ABCD1	ENST00000218104	ENSCAFT00000066589
BCORL1	ENST00000218147	ENSCAFT00000029733
KCND1	ENST00000218176	ENSCAFT00000024865
SLC25A14	ENST00000218197	ENSCAFT00000038395
PQBP1	ENST00000218224	ENSCAFT00000061910
PCSK1N	ENST00000218230	ENSCAFT00000024803
GPR50	ENST00000218316	ENSCAFT00000030392
RP2	ENST00000218340	ENSCAFT00000085445
USP11	ENST00000218348	ENSCAFT00000075133
HTATSF1	ENST00000218364	ENSCAFT00000048239
TIMP1	ENST00000218388	ENSCAFT00000092840
MAGED2	ENST00000218439	ENSCAFT00000083672
GLA	ENST00000218516	ENSCAFT00000028062
NDFIP2	ENST00000218652	ENSCAFT00000091612
MLNR	ENST00000218721	ENSCAFT00000045789
ACP5	ENST00000218758	ENSCAFT00000027439
SGCG	ENST00000218867	ENSCAFT00000011472
OLFM4	ENST00000219022	ENSCAFT00000038323
NTHL1	ENST00000219066	ENSCAFT00000030911
ZNF263	ENST00000219069	ENSCAFT00000030654
MMP2	ENST00000219070	ENSCAFT00000014986
ZNF205	ENST00000219091	ENSCAFT00000030646
ORC6	ENST00000219097	ENSCAFT00000082294
CORO1A	ENST00000219150	ENSCAFT00000076797
MT4	ENST00000219162	ENSCAFT00000014504
LYRM1	ENST00000219168	ENSCAFT00000047046
CBLN1	ENST00000219197	ENSCAFT00000086822
ARL2BP	ENST00000219204	ENSCAFT00000013951
PLLP	ENST00000219207	ENSCAFT00000072316
CCL22	ENST00000219235	ENSCAFT00000046606
DHODH	ENST00000219240	ENSCAFT00000071575
CCL17	ENST00000219244	ENSCAFT00000078736
POLR2C	ENST00000219252	ENSCAFT00000013863
PARD6A	ENST00000219255	ENSCAFT00000050072
MMP15	ENST00000219271	ENSCAFT00000013571
USB1	ENST00000219281	ENSCAFT00000013577
CCDC113	ENST00000219299	ENSCAFT00000013500
PRSS54	ENST00000219301	ENSCAFT00000046839
PSMD7	ENST00000219313	ENSCAFT00000048506
SETD6	ENST00000219315	ENSCAFT00000013427
SLC38A7	ENST00000219320	ENSCAFT00000013314
SMPD3	ENST00000219334	ENSCAFT00000032349
SLC7A6	ENST00000219343	ENSCAFT00000032359
PLA2G15	ENST00000219345	ENSCAFT00000032360
FA2H	ENST00000219368	ENSCAFT00000031998
CMC2	ENST00000219400	ENSCAFT00000051386
PDIA2	ENST00000219406	ENSCAFT00000092630
ARHGDIG	ENST00000219409	ENSCAFT00000074217
MPG	ENST00000219431	ENSCAFT00000031326
HSDL1	ENST00000219439	ENSCAFT00000031773
WFDC1	ENST00000219454	ENSCAFT00000063535
USP10	ENST00000219473	ENSCAFT00000031734
