WNK2	ENST00000297954	ENSCAFT00000042749
VDAC3	ENST00000022615	ENSCAFT00000043931
DCUN1D2	ENST00000478244	ENSCAFT00000010286
GPIHBP1	ENST00000622500	ENSCAFT00000048704
LRRC27	ENST00000368613	ENSCAFT00000017694
LRP11	ENST00000239367	ENSCAFT00000084524
GTF2E2	ENST00000355904	ENSCAFT00000010484
TNFSF18	ENST00000404377	ENSCAFT00000023154
CHPF2	ENST00000035307	ENSCAFT00000062921
CFAP99	ENST00000506607	ENSCAFT00000077053
NTN3	ENST00000293973	ENSCAFT00000030773
RNF34	ENST00000361234	ENSCAFT00000013181
IL1R2	ENST00000332549	ENSCAFT00000003386
BCS1L	ENST00000359273	ENSCAFT00000023625
LRTOMT	ENST00000289488	ENSCAFT00000009327
DBH	ENST00000393056	ENSCAFT00000031457
LRRC3	ENST00000291592	ENSCAFT00000047607
OSBPL10	ENST00000396556	ENSCAFT00000008704
XKR9	ENST00000408926	ENSCAFT00000038872
ST8SIA1	ENST00000396037	ENSCAFT00000018817
RELN	ENST00000428762	ENSCAFT00000039321
TRIM55	ENST00000315962	ENSCAFT00000011696
GLO1	ENST00000373365	ENSCAFT00000043789
MON1B	ENST00000248248	ENSCAFT00000090979
ACP2	ENST00000256997	ENSCAFT00000072704
PCP4	ENST00000328619	ENSCAFT00000069121
PLCD3	ENST00000619929	ENSCAFT00000022102
RHBDF2	ENST00000313080	ENSCAFT00000093017
NR3C2	ENST00000344721	ENSCAFT00000073716
C2	ENST00000299367	ENSCAFT00000001072
LARP6	ENST00000299213	ENSCAFT00000027928
MANSC1	ENST00000535902	ENSCAFT00000049146
IL17RC	ENST00000295981	ENSCAFT00000061502
SEL1L3	ENST00000399878	ENSCAFT00000026017
HGD	ENST00000283871	ENSCAFT00000075383
LMNB2	ENST00000582871	ENSCAFT00000082143
TXNDC5	ENST00000379757	ENSCAFT00000015219
IL9	ENST00000274520	ENSCAFT00000092631
CRNN	ENST00000271835	ENSCAFT00000020640
MSMO1	ENST00000261507	ENSCAFT00000018410
TPP1	ENST00000299427	ENSCAFT00000010498
NMD3	ENST00000351193	ENSCAFT00000063261
SLC7A7	ENST00000285850	ENSCAFT00000037785
SREK1IP1	ENST00000513458	ENSCAFT00000011671
RDH10	ENST00000240285	ENSCAFT00000078837
HS3ST5	ENST00000312719	ENSCAFT00000006492
OR5AS1	ENST00000313555	ENSCAFT00000012891
OR13C3	ENST00000374781	ENSCAFT00000004234
RTL1	ENST00000534062	ENSCAFT00000028454
RBP4	ENST00000371464	ENSCAFT00000082556
LRRK1	ENST00000388948	ENSCAFT00000035359
ELK1	ENST00000247161	ENSCAFT00000024086
TSPAN33	ENST00000486685	ENSCAFT00000002392
VTN	ENST00000226218	ENSCAFT00000029640
RPS3	ENST00000524851	ENSCAFT00000008686
SETD9	ENST00000285947	ENSCAFT00000035169
SLC35D1	ENST00000235345	ENSCAFT00000088973
DHTKD1	ENST00000263035	ENSCAFT00000007779
CCDC62	ENST00000253079	ENSCAFT00000012488
TEX35	ENST00000319416	ENSCAFT00000037891
NUP85	ENST00000245544	ENSCAFT00000007614
DAXX	ENST00000266000	ENSCAFT00000078860
ATL1	ENST00000358385	ENSCAFT00000039358
ATG4C	ENST00000317868	ENSCAFT00000029726
LMO4	ENST00000370542	ENSCAFT00000087785
OLIG2	ENST00000333337	ENSCAFT00000048514
CCDC92	ENST00000238156	ENSCAFT00000070376
GHRL	ENST00000335542	ENSCAFT00000008248
RAD1	ENST00000341754	ENSCAFT00000029851
ACVR1B	ENST00000257963	ENSCAFT00000039109
SF3B3	ENST00000302516	ENSCAFT00000032086
TXNDC11	ENST00000356957	ENSCAFT00000029994
POLR3D	ENST00000306433	ENSCAFT00000015035
KLF1	ENST00000264834	ENSCAFT00000027101
TMEM254	ENST00000372281	ENSCAFT00000024941
PIK3C2A	ENST00000265970	ENSCAFT00000049408
WDR59	ENST00000262144	ENSCAFT00000067660
ARAP3	ENST00000239440	ENSCAFT00000010054
PTGER2	ENST00000245457	ENSCAFT00000023338
TMEM160	ENST00000253047	ENSCAFT00000006717
STX7	ENST00000367941	ENSCAFT00000082407
HEATR1	ENST00000366582	ENSCAFT00000017410
PAH	ENST00000553106	ENSCAFT00000011719
OGFRL1	ENST00000370435	ENSCAFT00000043836
TREM2	ENST00000373113	ENSCAFT00000068656
HACE1	ENST00000262903	ENSCAFT00000005785
FKRP	ENST00000318584	ENSCAFT00000082118
LRRC24	ENST00000529415	ENSCAFT00000080215
SKIV2L	ENST00000375394	ENSCAFT00000001053
SLC22A12	ENST00000377574	ENSCAFT00000022826
SULT1C2	ENST00000251481	ENSCAFT00000003258
SPARC	ENST00000231061	ENSCAFT00000081564
NEMP2	ENST00000409150	ENSCAFT00000015083
CD101	ENST00000256652	ENSCAFT00000048982
E2F3	ENST00000346618	ENSCAFT00000043566
ANGPTL7	ENST00000376819	ENSCAFT00000026431
GDF9	ENST00000378673	ENSCAFT00000074255
TCEA3	ENST00000450454	ENSCAFT00000003983
WNT2	ENST00000265441	ENSCAFT00000048659
CES5A	ENST00000290567	ENSCAFT00000063029
EOMES	ENST00000295743	ENSCAFT00000043134
TIMM10	ENST00000257245	ENSCAFT00000012524
GEMIN2	ENST00000308317	ENSCAFT00000021990
DOCK9	ENST00000376460	ENSCAFT00000060043
EML2	ENST00000245925	ENSCAFT00000081761
TRIM4	ENST00000355947	ENSCAFT00000023668
DDX59	ENST00000331314	ENSCAFT00000017696
SELP	ENST00000263686	ENSCAFT00000037985
CD5L	ENST00000368174	ENSCAFT00000038154
OGG1	ENST00000344629	ENSCAFT00000077423
TRIM10	ENST00000354038	ENSCAFT00000019388
SYT5	ENST00000354308	ENSCAFT00000063532
C20orf202	ENST00000400633	ENSCAFT00000086058
CD244	ENST00000368033	ENSCAFT00000020086
ARHGEF17	ENST00000263674	ENSCAFT00000009046
CCDC172	ENST00000333254	ENSCAFT00000018730
HDX	ENST00000297977	ENSCAFT00000027535
UHRF1BP1L	ENST00000279907	ENSCAFT00000010792
PPP2R2B	ENST00000394409	ENSCAFT00000071025
HMMR	ENST00000358715	ENSCAFT00000027243
PRCD	ENST00000586148	ENSCAFT00000049113
MFN1	ENST00000471841	ENSCAFT00000017996
ZNF782	ENST00000481138	ENSCAFT00000070973
PPP1R16B	ENST00000299824	ENSCAFT00000014337
METAP1D	ENST00000315796	ENSCAFT00000020501
USP44	ENST00000258499	ENSCAFT00000010298
MAEA	ENST00000303400	ENSCAFT00000066790
TRPC7	ENST00000513104	ENSCAFT00000001686
RGS17	ENST00000206262	ENSCAFT00000000847
ISG15	ENST00000379389	ENSCAFT00000030747
BRF2	ENST00000220659	ENSCAFT00000010003
MSRB2	ENST00000376510	ENSCAFT00000048822
KCNS1	ENST00000306117	ENSCAFT00000015313
ANKRD24	ENST00000318934	ENSCAFT00000030367
CDCP1	ENST00000296129	ENSCAFT00000022292
MAP4K1	ENST00000591517	ENSCAFT00000009482
NUS1	ENST00000368494	ENSCAFT00000001438
PRKAG1	ENST00000548065	ENSCAFT00000013909
GRK1	ENST00000335678	ENSCAFT00000010332
DYNLRB1	ENST00000357156	ENSCAFT00000073460
SIX5	ENST00000317578	ENSCAFT00000007066
ACAP3	ENST00000354700	ENSCAFT00000030647
BACH2	ENST00000257749	ENSCAFT00000049706
PHOX2A	ENST00000298231	ENSCAFT00000066434
APMAP	ENST00000217456	ENSCAFT00000063311
PPP1R3B	ENST00000310455	ENSCAFT00000010750
DAPK3	ENST00000301264	ENSCAFT00000030431
ANK1	ENST00000347528	ENSCAFT00000065479
CHRNG	ENST00000389494	ENSCAFT00000017990
ISG20L2	ENST00000313146	ENSCAFT00000026521
NXPH4	ENST00000349394	ENSCAFT00000046425
OR7G3	ENST00000305444	ENSCAFT00000090346
SCFD1	ENST00000458591	ENSCAFT00000020208
MYO15A	ENST00000205890	ENSCAFT00000029106
FHIT	ENST00000468189	ENSCAFT00000011527
ARMC1	ENST00000276569	ENSCAFT00000011619
DAO	ENST00000228476	ENSCAFT00000080542
IPO11	ENST00000325324	ENSCAFT00000089455
ISM1	ENST00000262487	ENSCAFT00000078051
PROSER2	ENST00000277570	ENSCAFT00000082633
CARD6	ENST00000254691	ENSCAFT00000035930
FEZ2	ENST00000405912	ENSCAFT00000082258
GBP6	ENST00000370456	ENSCAFT00000032173
RAPGEF4	ENST00000397081	ENSCAFT00000090387
TPM3	ENST00000368530	ENSCAFT00000085693
PRPH2	ENST00000230381	ENSCAFT00000002698
HAS1	ENST00000222115	ENSCAFT00000004505
PCBD2	ENST00000254908	ENSCAFT00000001626
ACTRT1	ENST00000371124	ENSCAFT00000029616
OSGIN2	ENST00000297438	ENSCAFT00000044251
TMEM72	ENST00000389583	ENSCAFT00000046364
ALDH5A1	ENST00000357578	ENSCAFT00000059785
CD27	ENST00000266557	ENSCAFT00000024048
TTF2	ENST00000369466	ENSCAFT00000015640
SPECC1L	ENST00000314328	ENSCAFT00000021938
GTDC1	ENST00000344850	ENSCAFT00000079223
BVES	ENST00000314641	ENSCAFT00000005798
CPSF1	ENST00000616140	ENSCAFT00000043656
BNC1	ENST00000345382	ENSCAFT00000084796
SBK1	ENST00000341901	ENSCAFT00000027470
TIAL1	ENST00000436547	ENSCAFT00000019370
CLPTM1	ENST00000337392	ENSCAFT00000045905
MTCL1	ENST00000306329	ENSCAFT00000072580
PPP4R4	ENST00000304338	ENSCAFT00000038810
PRKCB	ENST00000321728	ENSCAFT00000027949
MFAP3L	ENST00000361618	ENSCAFT00000066123
SMG9	ENST00000270066	ENSCAFT00000007603
MOV10L1	ENST00000262794	ENSCAFT00000001094
SPC25	ENST00000282074	ENSCAFT00000088069
TNS2	ENST00000314250	ENSCAFT00000011380
UHRF1	ENST00000612630	ENSCAFT00000030070
VTI1A	ENST00000393077	ENSCAFT00000050009
RNF152	ENST00000312828	ENSCAFT00000049126
CCL24	ENST00000222902	ENSCAFT00000082930
OPTN	ENST00000263036	ENSCAFT00000007679
MEPCE	ENST00000310512	ENSCAFT00000077648
C4BPA	ENST00000367070	ENSCAFT00000018581
DRC7	ENST00000360716	ENSCAFT00000013773
TRIM45	ENST00000256649	ENSCAFT00000015647
MEP1B	ENST00000269202	ENSCAFT00000028615
CEP126	ENST00000263468	ENSCAFT00000072557
MTOR	ENST00000361445	ENSCAFT00000026412
CD59	ENST00000351554	ENSCAFT00000044159
XRCC1	ENST00000262887	ENSCAFT00000082499
CCDC181	ENST00000367806	ENSCAFT00000024185
NRIP2	ENST00000337508	ENSCAFT00000024801
ANXA3	ENST00000264908	ENSCAFT00000066534
ZFP3	ENST00000318833	ENSCAFT00000043880
C1QC	ENST00000374637	ENSCAFT00000023238
PIGP	ENST00000464265	ENSCAFT00000072686
MYNN	ENST00000349841	ENSCAFT00000019503
CGRRF1	ENST00000216420	ENSCAFT00000045843
PKIB	ENST00000354275	ENSCAFT00000087890
CATSPER1	ENST00000312106	ENSCAFT00000020737
ARF4	ENST00000303436	ENSCAFT00000060345
HIPK1	ENST00000369558	ENSCAFT00000014801
CYSLTR1	ENST00000373304	ENSCAFT00000027376
GAS2L3	ENST00000266754	ENSCAFT00000011056
EVC2	ENST00000344408	ENSCAFT00000024922
ERGIC3	ENST00000348547	ENSCAFT00000012923
DIP2B	ENST00000301180	ENSCAFT00000012942
FZD4	ENST00000531380	ENSCAFT00000085798
SKOR1	ENST00000380035	ENSCAFT00000038074
ZNF697	ENST00000421812	ENSCAFT00000062743
CDC42EP3	ENST00000295324	ENSCAFT00000009952
ZBED4	ENST00000216268	ENSCAFT00000001110
UCK1	ENST00000372215	ENSCAFT00000078011
USP47	ENST00000399455	ENSCAFT00000012458
ZC3H15	ENST00000337859	ENSCAFT00000078789
EFNA3	ENST00000368408	ENSCAFT00000027034
ANKRD63	ENST00000434396	ENSCAFT00000044052
BARHL2	ENST00000370445	ENSCAFT00000032163
MFHAS1	ENST00000276282	ENSCAFT00000010765
ZNF628	ENST00000598519	ENSCAFT00000047492
DNAI2	ENST00000311014	ENSCAFT00000007308
OXER1	ENST00000378661	ENSCAFT00000003830
GSE1	ENST00000253458	ENSCAFT00000080444
GJB6	ENST00000241124	ENSCAFT00000011709
UPK3A	ENST00000216211	ENSCAFT00000001319
OVCA2	ENST00000572195	ENSCAFT00000030569
MAP1LC3C	ENST00000357246	ENSCAFT00000043668
DUT	ENST00000331200	ENSCAFT00000092271
ZEB2	ENST00000409487	ENSCAFT00000087307
DCTN3	ENST00000259632	ENSCAFT00000003060
TANK	ENST00000259075	ENSCAFT00000046958
MTMR10	ENST00000435680	ENSCAFT00000016430
CSTF1	ENST00000217109	ENSCAFT00000018926
GNGT1	ENST00000248572	ENSCAFT00000003233
PERM1	ENST00000433179	ENSCAFT00000030752
FMO3	ENST00000367755	ENSCAFT00000023776
SESN3	ENST00000536441	ENSCAFT00000092004
MPO	ENST00000225275	ENSCAFT00000027699
CDC42	ENST00000344548	ENSCAFT00000023351
EPHA2	ENST00000358432	ENSCAFT00000025418
ZNF19	ENST00000288177	ENSCAFT00000046896
TMEM205	ENST00000354882	ENSCAFT00000027632
SLC7A10	ENST00000253188	ENSCAFT00000011905
FUNDC1	ENST00000378045	ENSCAFT00000023043
ESD	ENST00000378720	ENSCAFT00000092530
PURG	ENST00000475541	ENSCAFT00000074159
HDAC7	ENST00000427332	ENSCAFT00000065986
USP8	ENST00000307179	ENSCAFT00000024054
SPPL2C	ENST00000329196	ENSCAFT00000021560
SPRTN	ENST00000295050	ENSCAFT00000018713
KDELR2	ENST00000258739	ENSCAFT00000024944
TP53I13	ENST00000301057	ENSCAFT00000084189
PAM	ENST00000438793	ENSCAFT00000012155
MARCHF4	ENST00000273067	ENSCAFT00000022889
HSPA9	ENST00000297185	ENSCAFT00000002001
KLRB1	ENST00000229402	ENSCAFT00000021572
WDCP	ENST00000295148	ENSCAFT00000035593
ATP6V0D1	ENST00000290949	ENSCAFT00000032422
MDFIC	ENST00000393486	ENSCAFT00000084949
BEND4	ENST00000502486	ENSCAFT00000002832
HNRNPH2	ENST00000316594	ENSCAFT00000028063
SENP7	ENST00000394095	ENSCAFT00000047441
IQCF6	ENST00000398780	ENSCAFT00000044015
NDUFA2	ENST00000252102	ENSCAFT00000009447
ZW10	ENST00000200135	ENSCAFT00000021759
IL36B	ENST00000259213	ENSCAFT00000011635
HCN4	ENST00000261917	ENSCAFT00000047649
OR13C4	ENST00000277216	ENSCAFT00000004235
TOGARAM2	ENST00000379558	ENSCAFT00000008480
INS	ENST00000250971	ENSCAFT00000083211
KLHL30	ENST00000409223	ENSCAFT00000019670
GNS	ENST00000258145	ENSCAFT00000000563
GSTZ1	ENST00000216465	ENSCAFT00000027222
MYO9B	ENST00000594824	ENSCAFT00000087824
ACOX1	ENST00000301608	ENSCAFT00000063313
NPC2	ENST00000555619	ENSCAFT00000087082
THNSL1	ENST00000376356	ENSCAFT00000006843
ABCB6	ENST00000265316	ENSCAFT00000024031
CDK5RAP3	ENST00000338399	ENSCAFT00000026630
LRCH3	ENST00000425562	ENSCAFT00000020195
DHRS9	ENST00000357546	ENSCAFT00000019102
PARD6G	ENST00000353265	ENSCAFT00000000006
TEX47	ENST00000297203	ENSCAFT00000002938
KLK12	ENST00000319590	ENSCAFT00000073848
NHSL2	ENST00000510661	ENSCAFT00000062803
PNOC	ENST00000301908	ENSCAFT00000013178
SLC2A5	ENST00000377424	ENSCAFT00000077758
CUL1	ENST00000325222	ENSCAFT00000005562
BSCL2	ENST00000403550	ENSCAFT00000024862
ARID1A	ENST00000324856	ENSCAFT00000019631
KAT2B	ENST00000263754	ENSCAFT00000043568
KDM4D	ENST00000335080	ENSCAFT00000006614
LHX3	ENST00000371748	ENSCAFT00000020228
METTL26	ENST00000301686	ENSCAFT00000070093
TTC9B	ENST00000311308	ENSCAFT00000044645
B3GNT4	ENST00000324189	ENSCAFT00000038085
FAM117B	ENST00000392238	ENSCAFT00000019793
ITGB2	ENST00000302347	ENSCAFT00000068935
SPIN1	ENST00000375859	ENSCAFT00000027725
OR7D2	ENST00000344248	ENSCAFT00000067426
IFRD1	ENST00000005558	ENSCAFT00000071308
CCDC127	ENST00000296824	ENSCAFT00000017573
FAM3D	ENST00000358781	ENSCAFT00000011571
KBTBD7	ENST00000379483	ENSCAFT00000007732
TENT5A	ENST00000320172	ENSCAFT00000044046
TSHB	ENST00000256592	ENSCAFT00000015425
CASP6	ENST00000265164	ENSCAFT00000045925
ASB13	ENST00000357700	ENSCAFT00000008435
USPL1	ENST00000255304	ENSCAFT00000010632
TIPIN	ENST00000261881	ENSCAFT00000027379
SERINC4	ENST00000319327	ENSCAFT00000021223
SLC4A2	ENST00000413384	ENSCAFT00000093181
RRP15	ENST00000366932	ENSCAFT00000017226
AGO1	ENST00000373204	ENSCAFT00000005625
CDK10	ENST00000353379	ENSCAFT00000031528
NAGLU	ENST00000225927	ENSCAFT00000023748
IL20	ENST00000367096	ENSCAFT00000018180
CA10	ENST00000285273	ENSCAFT00000044667
CXorf65	ENST00000374251	ENSCAFT00000066855
BICD2	ENST00000375512	ENSCAFT00000003591
CDC42EP5	ENST00000301200	ENSCAFT00000044119
CCT2	ENST00000299300	ENSCAFT00000000684
PCDH7	ENST00000361762	ENSCAFT00000049980
PPP4R2	ENST00000356692	ENSCAFT00000010367
HMGB2	ENST00000296503	ENSCAFT00000012535
SLBP	ENST00000489418	ENSCAFT00000023830
EGLN2	ENST00000303961	ENSCAFT00000075701
PPP4C	ENST00000279387	ENSCAFT00000027067
LMNA	ENST00000368300	ENSCAFT00000075745
NUDT16	ENST00000521288	ENSCAFT00000009900
NQO1	ENST00000320623	ENSCAFT00000055430
KCTD9	ENST00000221200	ENSCAFT00000060063
MLST8	ENST00000397124	ENSCAFT00000035607
KATNA1	ENST00000335647	ENSCAFT00000000603
TSEN34	ENST00000302937	ENSCAFT00000073278
PRR15	ENST00000319694	ENSCAFT00000085984
OR6N1	ENST00000335094	ENSCAFT00000018531
RAB26	ENST00000210187	ENSCAFT00000030833
MCM3AP	ENST00000291688	ENSCAFT00000048123
NWD1	ENST00000552788	ENSCAFT00000075227
MYBPHL	ENST00000357155	ENSCAFT00000031551
DPP4	ENST00000360534	ENSCAFT00000016527
HACD4	ENST00000495827	ENSCAFT00000002593
GPR45	ENST00000258456	ENSCAFT00000003344
CAPN14	ENST00000403897	ENSCAFT00000008583
NKPD1	ENST00000438936	ENSCAFT00000007333
GAL3ST3	ENST00000312006	ENSCAFT00000020715
PFKL	ENST00000349048	ENSCAFT00000017399
GPC4	ENST00000370828	ENSCAFT00000090004
RAD17	ENST00000380774	ENSCAFT00000012439
WWOX	ENST00000566780	ENSCAFT00000063490
SLC1A6	ENST00000221742	ENSCAFT00000025669
SMARCB1	ENST00000263121	ENSCAFT00000022399
